"","sort(table(cc$values), decreasing = TRUE)"
"HumaAbedin",2365
"SullivanJacob",1743
"CherylMills",1084
"SES",541
"SESO_ShiftII",299
"ToivNoraF",275
"SES_S",266
"H",216
"SESO_SWO",196
"S_SpecialAssistants",186
"ValmoroLona",184
"HanleyMonicaR",166
"SESO_ShiftIII",156
"ReinesPhilippeI",155
"SESO_OS",148
"GonzalezJuanS",134
"JonesKaliC",134
"LaszczychJoanne",134
"DayChristina",133
"McCaryJohnA",133
"KoteckiStephanieL",131
"SESO_ShiftI",130
"BitterMelissa",126
"KaidanowTinaS",123
"VermaRichardR",110
"ScanlonAmyB",102
"BurnsWilliam",98
"MacmanusJosephE",97
"WellsAliceG",96
"YamamotoDonaldY",93
"SES_",91
"JilotyLaurenC",90
"BastienJoeIleElizabeth",88
"KennedyPatrickF",88
"SESO_CMS",86
"LewJacob",85
"SchlicherRonaldL",84
"OscarFlores",78
"FeltmanJeffreyD",75
"McEldowneyNancyE",72
"ColemanClaireL",68
"KellyCraigA",68
"RodriguezMiguelE",66
"LenderkingTimothyA",64
"ValmoroU@stategov",62
"SESO",61
"ReynosoJulissa",59
"SESO_Shift",58
"MitchellMaryT",57
"SteinbergJamesB",56
"DePirroVeliaM",54
"CrowleyPhilipJ",53
"AdamsDavidS",50
"BastienJoelleElizabeth",49
"DiMartinoKitty",49
"VerveerMelanneS",49
"KaidanowTina",48
"SmithDanaS",47
"KohHaroldHongju",45
"AndersonGeraldC",44
"GordonPhilipH",43
"AnneMarieSlaughter",42
"ArolaHeidiR",42
"CDM",42
"CrockerBathshebaN",42
"KubiskeLisa",42
"LohAnthonyX",42
"MuscatineLissa",42
"CarsonJohnnie",41
"CorbinMichaelH",41
"CulverChrisD",41
"CampbellPiper",40
"KennaLisaD",40
"MullStephenD",40
"RuggieroFrank",40
"SESO_SWOOnly",40
"KlevorickCaitlinB",39
"FuchsMichaelH",38
"RussoRobertV",38
"EngelkenStephenC",37
"FeldmanDanielF",37
