"","from","V1","V3","N"
"1","AbbaszadehNima","CherylMills",NA,2
"2","AbbaszadehNima","H",NA,2
"3","AbbaszadehNima","HanleyMonicaR","1.4(D)",1
"4","AbbaszadehNima","HanleyMonicaR",NA,1
"5","AbbaszadehNima","SullivanJacob",NA,8
"6","AbbaszadehNima","WellsAliceG",NA,11
"7","aclb","FIDR@clintonemailcom","1.4(B),1.4(D)",2
"8","aclb","H","1.4(B),1.4(D)",35
"9","aclb","H","1.4(B),1.4(D),B1",4
"10","aclb","H","1.4(D)",7
"11","aclb","H",NA,31
"12","aclb","HaleDavidM","1.4(B),1.4(D)",3
"13","aclb","Hl","1.4(B),1.4(D)",2
"14","aclb","IH","1.4(B),1.4(D)",3
"15","aclb","SullivanJacob","1.4(B),1.4(D)",2
"16","AnneMarieSlaughter","AnneMarieSlaughter","1.4(B),1.4(D)",1
"17","AnneMarieSlaughter","AnneMarieSlaughter",NA,29
"18","AnneMarieSlaughter","CherylMills","1.4(B),1.4(D)",1
"19","AnneMarieSlaughter","CherylMills",NA,43
"20","AnneMarieSlaughter","CherylMillsHumaAbedin",NA,1
"21","AnneMarieSlaughter","H","1.4(B),1.4(D)",1
"22","AnneMarieSlaughter","H","1.4(B),1.4(D),B1",1
"23","AnneMarieSlaughter","H","1.4(D)",2
"24","AnneMarieSlaughter","H",NA,248
"25","AnneMarieSlaughter","HarrisJenniferM",NA,3
"26","AnneMarieSlaughter","HccHumaAbedin",NA,1
"27","AnneMarieSlaughter","HIYourexampleI",NA,1
"28","AnneMarieSlaughter","Hs",NA,1
"29","AnneMarieSlaughter","HumaAbedin",NA,11
"30","AnneMarieSlaughter","HunterRobert",NA,1
"31","AnneMarieSlaughter","HydeDana",NA,1
"32","AnneMarieSlaughter","Ihdr@clintonernailcom",NA,1
"33","AnneMarieSlaughter","KellyCraigA",NA,1
"34","AnneMarieSlaughter","lakesullivanLewJacob",NA,1
"35","AnneMarieSlaughter","LewJacob",NA,7
"36","AnneMarieSlaughter","MillsCheID",NA,1
"37","AnneMarieSlaughter","MullStephenD",NA,4
"38","AnneMarieSlaughter","SteinbergJamesB",NA,1
"39","AnneMarieSlaughter","SullivanJacob",NA,10
"40","AnneMarieSlaughter","TerryBMurphy",NA,1
"41","AnneMarieSlaughter","VerveerMelanneS",NA,1
"42","BalderstonKrisM","BagleElizabethF",NA,1
"43","BalderstonKrisM","CherylMills",NA,9
"44","BalderstonKrisM","H",NA,59
"45","BalderstonKrisM","HSubjectMarkLandlerI",NA,1
"46","BalderstonKrisM","HumaAbedin",NA,3
"47","BalderstonKrisM","JilotyLaurenC",NA,4
"48","BalderstonKrisM","ReinesPhilippeI",NA,4
"49","BalderstonKrisM","SullivanJacob",NA,1
"50","BalderstonKrisM","ToivNoraF",NA,2
"51","BrimmerEstherD","BurnsWilliam",NA,3
"52","BrimmerEstherD","CherylMills",NA,5
"53","BrimmerEstherD","H",NA,1
"54","BrimmerEstherD","HumaAbedin","1.4(B),1.4(D)",1
"55","BrimmerEstherD","HumaAbedin","1.4(D)",1
"56","BrimmerEstherD","HumaAbedin",NA,8
"57","BrimmerEstherD","OstermeierAmyA",NA,1
"58","BrimmerEstherD","PowerSamantha",NA,4
"59","BrimmerEstherD","SchwartzEricP",NA,1
"60","BrimmerEstherD","SullivanJacob",NA,11
"61","BrimmerEstherD","SullivanJacobMacmanusJosephE",NA,1
"62","BuhlCindy","BulgrinJulieIC",NA,1
"63","BuhlCindy","CherylMills",NA,25
"64","BurnsStrider","BurnsStriderburnsstrider",NA,1
"65","BurnsStrider","H",NA,61
"66","BurnsStrider","MartyTorrey",NA,1
"67","BurnsStrider","MinyonMoore",NA,1
"68","BurnsWilliam","CherylMills","1.4(B),1.4(D)",8
"69","BurnsWilliam","CherylMills",NA,17
"70","BurnsWilliam","EinhornRobertJ",NA,1
"71","BurnsWilliam","FeltmanJeffreyD",NA,1
"72","BurnsWilliam","GordonPhilipH","1.4(B),1.4(D)",1
"73","BurnsWilliam","GordonPhilipH",NA,5
"74","BurnsWilliam","H","1.4(B),1.4(D)",12
