"","from","to","cc","docs$reason"
"1","h","verveermelannes",NA,NA
"2","verveermelannes","h",NA,NA
"3","onbehalfofdrmuhammadyunus","verveermelannes",NA,NA
"4","h","verveermelannes",NA,NA
"5","verveermelannes","h",NA,NA
"6","h","verveermelannes",NA,NA
"7","verveermelannes","h",NA,NA
"8","verveermelannes","h",NA,NA
"9","h","verveermelannes",NA,NA
"10","verveermelannes","h",NA,NA
"11","onbehalfofdrmuhammadyunus","verveermelannes",NA,NA
"12","h","jacobsullivan",NA,NA
"13","h","verveermelannes",NA,NA
"14","verveermelannes","h",NA,NA
"15","h","verveermelannes",NA,NA
"16","verveermelannes","h",NA,NA
"17","h","jacobsullivan",NA,NA
"18","h","humaabedin",NA,NA
"19","humaabedin","h",NA,NA
"20","h","humaabedin",NA,NA
"21","humaabedin","h",NA,NA
"22","h","humaabedin",NA,NA
"23","humaabedin","h",NA,NA
"24","h","humaabedin",NA,NA
"25","humaabedin","h",NA,NA
"26","h","humaabedin",NA,NA
"27","humaabedin","h",NA,NA
"28","h","humaabedin",NA,NA
"29","humaabedin","h",NA,NA
"30","h","verveermelannes","h",NA
"31","verveermelannes","h",NA,NA
"32","h","verveermelannes",NA,NA
"33","h","cherylmills",NA,NA
"34","cherylmills","h",NA,NA
"35","gordonphiliph","jacobsullivan;humaabedin;cherylmills",NA,NA
"36","jacobsullivan","gordonphiliph;humaabedin;cherylmills",NA,NA
"37","gordonphiliph","humaabedin;jacobsullivan",NA,NA
"38","h","campbellkurtm",NA,NA
"39","campbellkurtm","h",NA,NA
"40","h","campbellkurtm",NA,NA
"41","jilotylaurenc","h",NA,NA
"42","jimmy","jilotylaurenc",NA,NA
"43","h","humaabedin",NA,NA
"44","humaabedin","h",NA,NA
"45","h","humaabedin",NA,NA
"46","humaabedin","h",NA,NA
"47","h","jacobsullivar",NA,"1.4(B),1.4(D)"
"48","jacobsullivar","h",NA,"1.4(B),1.4(D)"
"49","h","jacobsullivan",NA,"1.4(B),1.4(D)"
"50","jacobsullivan","h",NA,"1.4(B),1.4(D)"
"51","h","jacobsullivan",NA,"1.4(B),1.4(D)"
"52","jacobsullivan","h",NA,"1.4(B),1.4(D)"
"53","h","jacobsullivan",NA,"1.4(B),1.4(D)"
"54","jacobsullivan","h",NA,"1.4(B),1.4(D)"
"55","h","jacobsullivan",NA,"1.4(D),B1"
"56","jacobsullivan","h",NA,"1.4(D),B1"
"57","h","jacobsullivan",NA,"1.4(D),B1"
"58","jacobsullivan","h;humaabedin",NA,"1.4(D),B1"
"59","h","valmorou@;humaabedin",NA,NA
"60","h","jacobsullivan",NA,"1.4(B),1.4(D)"
"61","jacobsullivan","h",NA,"1.4(B),1.4(D)"
"62","miskoseana","jacobsullivan;sspecialassistants;feldmandanielf;mckeanmargaretb;jonespaulw",NA,"1.4(B),1.4(D)"
"63","jeffreyjamesf","feldmandanielf;miskoseana;mckeanmargaretb;sillimandouglasa",NA,"1.4(B),1.4(D)"
