"","sort(table(to$values), decreasing = TRUE)"
"H",9479
"CherylMills",4700
"SullivanJacob",4397
"HumaAbedin",3690
"NEWSMahogany",1590
"JilotyLaurenC",980
"ValmoroLona",556
"BurnsWilliam",391
"ReinesPhilippeI",340
"FeltmanJeffreyD",335
"VermaRichardR",325
"ValmoroU@stategov",323
"McHaleJudithA",303
"AnneMarieSlaughter",285
"NEWSNEA",283
"MertenKennethH",244
"HanleyMonicaR",241
"KennedyPatrickF",235
"SteinbergJamesB",235
"sbwhoeop",230
"VerveerMelanneS",219
"LindwallDavidE",211
"GordonPhilipH",188
"LewJacob",184
"AdamsThomasC",183
"KujawinskiPeterI",175
"McdonaldKaraC",174
"WellsAliceG",163
"CrowleyPhilipJ",158
"S_SpecialAssistants",156
"ValenzuelaArturoA",154
"MacmanusJosephE",152
"CampbellKurtM",149
"preines",146
"MuscatineLissa",136
"hdr@clintonemailcom",133
"hanleymr@stategov",124
"Ivalmoro",115
"NEWSEUR",111
"CurtisMeghannA",108
"KlevorickCaitlinB",106
"FeldmanDanielF",103
"NidesThomasR",103
"KellyCraigA",101
"CarsonJohnnie",98
"MullStephenD",98
"PIR",96
"ToivNoraF",89
"ReynosoJulissa",87
"KohHaroldHongju",86
"PosnerMichaelH",85
"JacobsJaniceL",84
"LouisPierreA",83
"SES_DutyDeputies",83
"SES",82
"McDonoughDenisR",81
"HydeDana",79
"RooneyMegan",79
"BalderstonKrisM",78
"HammerMichaelA",78
"RussoRobertV",77
"CrowleyPhilip",75
"OscarFlores",75
"ShannonThomasA",75
"AdamsDavidS",73
"JacobsonRobertaS",73
"KazemiShamim",72
"SchlicherRonaldL",72
"WailesJacob",72
"slaughtera@stategov",71
"monicahanley",70
"RooneyMatthewM",68
"ShermanWendyR",63
"D",62
"HaleDavidM",62
"NEWSAfghanistan",62
"SmithDanaS",62
"BrimmerEstherD",61
"NEWSI",60
"BondMicheleT",59
"SyriaUnrest",59
"ColemanClaireL",58
"RodriguezMiguelE",58
"P",56
"StrobeTalbott",55
"AdlerCarolineE",54
"Russorv@stategov",54
"vermarr@stategov",54
"DiMartinoKitty",53
"NEWSLibya",53
"RiceSusanE",52
"PAFOGroup",51
"RossAlec",51
"TauscherEllen",51
"CholletDerekH",50
"ShahRajiv",50
"LaszczychJoanne",49
"FuchsMichaelH",48
"NepalRohitS",48
"PachecoMarthaA",48
"SandersonJanetA",48
"SESO_SCalls",48
"SmithDanielB",48
"HickeyMaryE",47
"NEWSPakistan",47
"HoltzGretaC",45
